name_icelandic,name_english,tag_icelandic,tag_english,url,domain
Vinnumálastofnun,Directorate of Labour,,,https://vinnumalastofnun.is/,vinnumalastofnun.is
Heilbrigðisstofnun Vesturlands,The Healthcare Institution of West Iceland,,,https://www.hve.is/,hve.is
Landspítali,Landspitali - University Hospital,,,https://island.is/s/landspitali,island.is
Heilbrigðisstofnun Suðurnesja,Suðurnes Hospital & Health Center (HSS),,,https://hss.is/,hss.is
Samgöngustofa,The Icelandic Transport Authority,,,https://www.samgongustofa.is/,samgongustofa.is
Lögreglan,The Icelandic Police,,,https://logreglan.is,logreglan.is
Umhverfis- og orkustofnun,Icelandic Environment and Energy Agency,,,https://uos.is/,uos.is
Land og skógur,Land and Forest Iceland,,,https://island.is/s/land-og-skogur,island.is
Blóðbankinn,The Icelandic Blood Bank,,,https://www.blodbankinn.is/,blodbankinn.is
Vinnueftirlitið,Administration of Occupational Safety and Health,,,https://island.is/s/vinnueftirlitid,island.is
Framkvæmdasýslan - Ríkiseignir,The Government Property Agency,,,https://www.fsre.is/,fsre.is
Tryggingastofnun,Social Insurance Administration,,,https://www.tr.is/,tr.is
Mannréttindastofnun Íslands,Icelandic Human Rights Institute,,,https://mannrettindi.is/,mannrettindi.is
Hvalfjarðarsveit,Hvalfjörður Region,,,https://www.hvalfjardarsveit.is/,hvalfjardarsveit.is
Stjórnarráð Íslands,Government of Iceland,,,https://www.stjornarradid.is/,stjornarradid.is
Alþingi,Parliament,,,https://www.althingi.is/,althingi.is
Umbra - þjónustumiðstöð Stjórnarráðsins,Umbra - Government Offices Services,,,https://www.stjornarradid.is/raduneyti/umbra/,stjornarradid.is
"Menningar-, háskóla- og nýsköpunarráðuneyti","Ministry of Culture, Innovation and Higher Education",,,https://www.stjornarradid.is/raduneyti/menningar-nyskopunar-og-haskolaraduneytid/,stjornarradid.is
Samskiptamiðstöð heyrnarlausra og heyrnarskertra,The Communication Center for the Deaf and Hard of Hearing,,,https://shh.is/,shh.is
Fjársýslan,The Financial Management Authority,,,https://island.is/s/fjarsyslan,island.is
Skatturinn,Iceland Revenue and Customs,,,https://www.skatturinn.is/,skatturinn.is
Umboðsmaður skuldara,The Debtors' Ombudsman,,,https://www.ums.is/,ums.is
Náttúrufræðistofnun,Icelandic Institute of Natural History,,,https://www.ni.is/,ni.is
Ráðgjafar- og greiningarstöð,The Counseling and Diagnostic Center,,,https://www.rgr.is,rgr.is
CERT-IS,CERT-IS,,,https://cert.is/,cert.is
Náttúruverndarstofnun,Nature Conservation Agency of Iceland,,,https://www.nattura.is/,nattura.is
Sjónstöðin,"The National Institute for the Blind, Visually Impaired, and Deafblind",,,https://www.midstod.is/,midstod.is
Útlendingastofnun,Directorate of Immigration,,,https://utl.is/,utl.is
Félags- og  húsnæðismálaráðuneytið,Ministry of Social Affairs and Housing,,,https://www.stjornarradid.is/raduneyti/felags-og-husnaedismalaraduneytid/,stjornarradid.is
Hljóðbókasafn Íslands,The Icelandic National Audio Library,,,https://hbs.is/,hbs.is
Faggilding - ISAC,ISAC - Icelandic Service for Accreditation,,,,
Þjóðgarðurinn á Þingvöllum,Thingvellir National Park,,,https://www.thingvellir.is/,thingvellir.is
Neytendastofa,The Consumer Agency,,,http://neytendastofa.is/,neytendastofa.is
Þjóðskrá,Registers Iceland,,,https://www.skra.is/,skra.is
Skipulagsstofnun,National Planning Agency,,,https://www.skipulag.is/,skipulag.is
Hafrannsóknastofnun: rannsókna- og ráðgjafarstofnun hafs og vatna,Marine and Freshwater Research Institute,,,https://www.hafogvatn.is/,hafogvatn.is
Þjóðskjalasafn Íslands,National Archives of Iceland,,,https://skjalasafn.is/,skjalasafn.is
Þjóðminjasafn Íslands,National Museum of Iceland,,,https://www.thjodminjasafn.is/,thjodminjasafn.is
Þjóðleikhúsið,National Theatre of Iceland,,,https://leikhusid.is/,leikhusid.is
Sinfóníuhljómsveit Íslands,Iceland Symphony,,,https://www.sinfonia.is/,sinfonia.is
Samkeppniseftirlitið,Icelandic Competition Authority,,,https://www.samkeppni.is/,samkeppni.is
Safnaráð,The Museum Council of Iceland,,,https://safnarad.is/,safnarad.is
Ríkisútvarpið ohf.,The Icelandic National Broadcasting Service,,,https://www.ruv.is/,ruv.is
Rannsóknamiðstöð Íslands,The Icelandic Centre for Research,,,https://www.rannis.is/,rannis.is
Náttúruminjasafn Íslands,Icelandic Museum of Natural History,,,https://nmsi.is/,nmsi.is
Miðstöð íslenskra bókmennta,Icelandic Literature Center,,,https://www.islit.is/,islit.is
Listasafn Einars Jónssonar,The Einar Jónsson Museum,,,https://lej.is/,lej.is
Listasafn Íslands,National Gallery of Iceland,,,https://www.listasafn.is/,listasafn.is
Landsbókasafn Íslands - Háskólabókasafn,National and University Library of Iceland,,,https://landsbokasafn.is/,landsbokasafn.is
Kvikmyndasafn Íslands,National Film Archive of Iceland,,,https://kvikmyndasafn.is/,kvikmyndasafn.is
Kvikmyndamiðstöð Íslands,Icelandic Film Centre,,,http://www.kvikmyndamidstod.is/,kvikmyndamidstod.is
Jafnréttisstofa,The Centre for Gender Equality,,,https://www.jafnretti.is/,jafnretti.is
Íslenski dansflokkurinn,Iceland Dance Company,,,http://id.is/is/,id.is
Húsnæðis- og mannvirkjastofnun,Housing & Construction Authority,,,https://www.hms.is/,hms.is
Gljúfrasteinn: hús skáldsins,Gljúfrasteinn,,,http://gljufrasteinn.is/,gljufrasteinn.is
Fjölmiðlanefnd,Media Commission,,,https://fjolmidlanefnd.is/,fjolmidlanefnd.is
Ferðamálastofa,Icelandic Tourist Board,,,https://www.ferdamalastofa.is/,ferdamalastofa.is
Atvinnuvegaráðuneyti,Ministry of Industries,,,https://www.stjornarradid.is/raduneyti/atvinnuvegaraduneytid/,stjornarradid.is
Árnastofnun,The Árni Magnússon Institute for Icelandic Studies,,,https://arnastofnun.is/is,arnastofnun.is
Fiskistofa,The Directorate of Fisheries,,,http://www.fiskistofa.is/,fiskistofa.is
Fjarskiptastofa,Post and Telecom Administration in Iceland,,,https://pfs.is/,pfs.is
Dómstólar,The Courts,,,https://island.is/s/domstolar,island.is
Endurupptökudómur,The Court on Reopening of cases,,,https://endurupptokudomur.is/,endurupptokudomur.is
Skrifstofa fjármálagreininga lögreglu,Financial Intelligence Unit,,,https://island.is/v/skrifstofa-fjarmalagreininga-loegreglu,island.is
Stafrænt Ísland,Digital Iceland,,,https://island.is/adstod,island.is
Heilsugæsla höfuðborgarsvæðisins,Primary Health Care of the Capital Area,,,https://www.heilsugaeslan.is/,heilsugaeslan.is
Borgarholtsskóli,Borgarholtsskóli - Comprehensive Secondary School,,,https://www.bhs.is/,bhs.is
Múlaþing,Múlaþing,,,https://www.mulathing.is/,mulathing.is
Persónuvernd,Data Protection Authority,,,https://www.personuvernd.is/,personuvernd.is
Skagafjörður,Sveitarfélagið Skagafjörður,,,https://www.skagafjordur.is/,skagafjordur.is
Héraðsdómstólar,District Court of Iceland,,,https://www.heradsdomstolar.is/,heradsdomstolar.is
Hæstiréttur Íslands,Supreme Court of Iceland,,,https://www.haestirettur.is/,haestirettur.is
Landsréttur,Court of Appeal,,,https://landsrettur.is/,landsrettur.is
Verkmenntaskólinn á Akureyri,Akureyri Comprehensive College,,,https://www.vma.is/,vma.is
Miðstöð menntunar og skólaþjónustu,Directorate of Education and School Services,,,https://island.is/s/midstod-menntunar-og-skolathjonustu,island.is
Úrvinnslusjóður,Icelandic Recycling Fund,,,https://www.urvinnslusjodur.is/,urvinnslusjodur.is
Húnaþing vestra,Húnaþing vestra,,,https://www.hunathing.is/,hunathing.is
Héraðssaksóknari,District Prosecutor,,,https://www.hersak.is/,hersak.is
Barna- og fjölskyldustofa,The National Agency for Children and Families,,,http://www.bofs.is/,bofs.is
Sýslumenn,District Commissioners,,,https://island.is/s/syslumenn,island.is
Sjúkratryggingar,Iceland Health,,,https://island.is/s/sjukratryggingar,island.is
Sjúkrahúsið á Akureyri,Akureyri Hospital,,,https://www.sak.is/,sak.is
Embætti landlæknis,Directorate of Health,,,http://www.landlaeknir.is,landlaeknir.is
Náttúruhamfaratrygging Íslands,Natural Catastrophe Insurance of Iceland,,,https://nti.is/,nti.is
Landskjörstjórn,,,,http://www.landskjor.is/,landskjor.is
Ríkissaksóknari,Director of Public Prosecution,,,https://www.rikissaksoknari.is/,rikissaksoknari.is
Gæða- og eftirlitsstofnun velferðarmála,Quality and Supervisory Authority for Welfare,,,https://gev.is,gev.is
