name_icelandic,name_english,tag_icelandic,tag_english,url,domain,final_url,final_domain,redirect_count,redirect_codes,mx,ns,a,spf,hosting_asn,hosting_org,final_mx,final_ns,final_a,final_spf,final_hosting_asn,final_hosting_org,email_provider,dns_category,hosting_category,final_email_provider,final_dns_category,final_hosting_category,redirect_status
Vinnumálastofnun,Directorate of Labour,,,https://vinnumalastofnun.is/,vinnumalastofnun.is,https://island.is:443/s/vinnumalastofnun,island.is,3,301; 308; 307,mx00.hysing.is; mx01.hysing.is; mx02.hysing.is,ns0.vist.is; ns1.vist.is; ns2.vist.is,34.251.144.192; 54.77.239.177; 63.32.127.239,,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Local (.is),Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Heilbrigðisstofnun Vesturlands,The Healthcare Institution of West Iceland,,,https://www.hve.is/,hve.is,https://island.is:443/s/hve,island.is,1,301,hve-is.mail.protection.outlook.com,ns0.vist.is; ns1.vist.is; ns2.vist.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 ip4:194.105.231.1 ip4:194.105.232.1 ip4:213.181.118.209 ip4:94.142.152.2 ip4:194.105.232.24 include:spf.protection.outlook.com include:mailgun.org -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Landspítali,Landspitali - University Hospital,,,https://island.is/s/landspitali,island.is,,,0,,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509,AMAZO-ZL4,,,,,,,Microsoft 365,AWS,Other,,,,No redirect
Heilbrigðisstofnun Suðurnesja,Suðurnes Hospital & Health Center (HSS),,,https://hss.is/,hss.is,https://island.is:443/s/hss,island.is,3,301; 308; 307,hss-is.mail.protection.outlook.com,ns0.1984.is; ns1.1984.is; ns1.1984hosting.com; ns2.1984.is; ns2.1984hosting.com,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 include:spf.protection.outlook.com include:mail.zendesk.com -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Samgöngustofa,The Icelandic Transport Authority,,,https://www.samgongustofa.is/,samgongustofa.is,https://island.is:443/s/samgongustofa,island.is,2,302; 301,samgongustofa-is.mail.protection.outlook.com,ns1.icetra.is; ns2.icetra.is,157.157.42.165,v=spf1 mx include:spf.protection.outlook.com ip4:157.157.42.30 ip4:157.157.42.31 -all,6677,IS-Umferd,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),Other,Microsoft 365,AWS,Other,Internal .is redirect
Lögreglan,The Icelandic Police,,,https://logreglan.is,logreglan.is,https://island.is:443/s/logreglan,island.is,3,301; 308; 307,mx1.tmd.is; mx2.tmd.is,ns1.simnet.is; ns2.simnet.is; ns3.simnet.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 mx include:spf.protection.outlook.com -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Umhverfis- og orkustofnun,Icelandic Environment and Energy Agency,,,https://uos.is/,uos.is,,,0,,uos-is.mail.protection.outlook.com,ns1.okhysing.is; ns2.okhysing.is,76.76.21.21,v=spf1 a:smtp.okhysing.is a:gogn.ust.is a:gopro.ust.is include:spf.protection.outlook.com include:mailgun.org ~all,16509,VERCEL-01,,,,,,,Microsoft 365,Local (.is),Vercel,,,,No redirect
Land og skógur,Land and Forest Iceland,,,https://island.is/s/land-og-skogur,island.is,,,0,,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509,AMAZO-ZL4,,,,,,,Microsoft 365,AWS,Other,,,,No redirect
Blóðbankinn,The Icelandic Blood Bank,,,https://www.blodbankinn.is/,blodbankinn.is,https://island.is:443/s/blodbankinn,island.is,3,301; 308; 307,,dvalinn.rhnet.is; lshdns.landspitali.is; nsa.landspitali.is; nsb.landspitali.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Other,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Vinnueftirlitið,Administration of Occupational Safety and Health,,,https://island.is/s/vinnueftirlitid,island.is,,,0,,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509,AMAZO-ZL4,,,,,,,Microsoft 365,AWS,Other,,,,No redirect
