name_icelandic,name_english,tag_icelandic,tag_english,url,domain,final_url,final_domain,redirect_count,redirect_codes,mx,spf,mx_asn,mx_org,mx_country,spf_asn,spf_org,spf_country,ns,dns_asn,dns_org,dns_country,a,hosting_asn,hosting_org,hosting_country,final_mx,final_spf,final_mx_asn,final_mx_org,final_mx_country,final_spf_asn,final_spf_org,final_spf_country,final_ns,final_dns_asn,final_dns_org,final_dns_country,final_a,final_hosting_asn,final_hosting_org,final_hosting_country,email_provider,dns_category,hosting_category,final_email_provider,final_dns_category,final_hosting_category,redirect_status,effective_email_provider,email_disclaimer,email_disclaimer_text,effective_dns_category,dns_disclaimer,dns_disclaimer_text,effective_hosting_category,hosting_disclaimer,hosting_disclaimer_text
Vinnumálastofnun,Directorate of Labour,Félags- og húsnæðismálaráðuneyti,Ministry of Social Affairs and Housing,https://vinnumalastofnun.is/,vinnumalastofnun.is,https://island.is:443/s/vinnumalastofnun,island.is,3,301; 308; 307,mx00.hysing.is; mx01.hysing.is; mx02.hysing.is,,,,,,,,ns0.vist.is; ns1.vist.is; ns2.vist.is,43892,BASIS-MNT,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Local (.is),Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Local (.is),True,Local (.is) detected in MX. SPF is unknown.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Heilbrigðisstofnun Vesturlands,The Healthcare Institution of West Iceland,Heilbrigðisráðuneytið,Ministry of Health,https://www.hve.is/,hve.is,https://island.is:443/s/hve,island.is,1,301,hve-is.mail.protection.outlook.com,v=spf1 ip4:194.105.231.1 ip4:194.105.232.1 ip4:213.181.118.209 ip4:94.142.152.2 ip4:194.105.232.24 include:spf.protection.outlook.com include:mailgun.org -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns0.vist.is; ns1.vist.is; ns2.vist.is,43892,BASIS-MNT,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Landspítali,Landspitali - University Hospital,Heilbrigðisráðuneytið,Ministry of Health,https://island.is/s/landspitali,island.is,,,0,,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509,"Amazon.com, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,AWS,AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,False,,AWS,False,
Heilbrigðisstofnun Suðurnesja,Suðurnes Hospital & Health Center (HSS),Heilbrigðisráðuneytið,Ministry of Health,https://hss.is/,hss.is,https://island.is:443/s/hss,island.is,3,301; 308; 307,hss-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com include:mail.zendesk.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns0.1984.is; ns1.1984.is; ns1.1984hosting.com; ns2.1984.is; ns2.1984hosting.com,20473,"Vultr Holdings, LLC",US,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Other US,AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,True,"Original domain used Other US, but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Samgöngustofa,The Icelandic Transport Authority,Innviðaráðuneytið,Ministry of Infrastructure,https://www.samgongustofa.is/,samgongustofa.is,https://island.is:443/s/samgongustofa,island.is,2,302; 301,samgongustofa-is.mail.protection.outlook.com,v=spf1 mx include:spf.protection.outlook.com ip4:157.157.42.30 ip4:157.157.42.31 -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns1.icetra.is; ns2.icetra.is,6677,MILAHF-MNT,IS,157.157.42.165,6677,MILAHF-MNT,IS,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Local (.is),Local (.is),Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,"Original domain used Local (.is), but redirect target uses AWS."
Lögreglan,The Icelandic Police,Dómsmálaráðuneytið,Ministry of Justice,https://logreglan.is,logreglan.is,https://island.is:443/s/logreglan,island.is,3,301; 308; 307,mx1.tmd.is; mx2.tmd.is,v=spf1 mx include:spf.protection.outlook.com -all,6677.0,MILAHF-MNT,IS,8075.0,Microsoft Corporation,US,ns1.simnet.is; ns2.simnet.is; ns3.simnet.is,6677,MILAHF-MNT,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,SPF includes Microsoft 365 for sending. MX points elsewhere.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Umhverfis- og orkustofnun,Icelandic Environment and Energy Agency,"Umhverfis-, orku- og loftslagsráðuneytið","Ministry of the Environment, Energy and Climate",https://uos.is/,uos.is,,,0,,uos-is.mail.protection.outlook.com,v=spf1 a:smtp.okhysing.is a:gogn.ust.is a:gopro.ust.is include:spf.protection.outlook.com include:mailgun.org ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns1.okhysing.is; ns2.okhysing.is,48685,MNT-OK,IS,76.76.21.21,16509,"Vercel, Inc",US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Other US,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Other US,False,
Land og skógur,Land and Forest Iceland,"Umhverfis-, orku- og loftslagsráðuneytið","Ministry of the Environment, Energy and Climate",https://island.is/s/land-og-skogur,island.is,,,0,,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509,"Amazon.com, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,AWS,AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,False,,AWS,False,
Blóðbankinn,The Icelandic Blood Bank,Heilbrigðisráðuneytið,Ministry of Health,https://www.blodbankinn.is/,blodbankinn.is,https://island.is:443/s/blodbankinn,island.is,3,301; 308; 307,,v=spf1 -all,,,,,,,dvalinn.rhnet.is; lshdns.landspitali.is; nsa.landspitali.is; nsb.landspitali.is,15474,Rannsokna- og haskolanet Islands hf.,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Unknown,Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Unknown,False,,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Vinnueftirlitið,Administration of Occupational Safety and Health,Félags- og húsnæðismálaráðuneyti,Ministry of Social Affairs and Housing,https://island.is/s/vinnueftirlitid,island.is,,,0,,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509,"Amazon.com, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,AWS,AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,False,,AWS,False,
Framkvæmdasýslan - Ríkiseignir,The Government Property Agency,Fjármála- og efnahagsráðuneytið,Ministry of Finance and Economic Affairs,https://www.fsre.is/,fsre.is,,,0,,fsre-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com a:smtp.homeed.is ip4:212.30.230.100/32 include:spf.hysing.is include:mail.zendesk.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,a.hysing.is; b.hysing.is; c.hysing.is,44515,MNT-ADVANIA,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,AWS,False,
